"Team1","Team2","Played","Won","Drawn","Lost"
"180","Czech Republic","Repulic of Ireland",20,0.55,0.15,0.3
"181","Czech Republic","Sweden",19,0.473684210526316,0.315789473684211,0.210526315789474
"182","Czech Republic","Portugal",12,0.333333333333333,0.25,0.416666666666667
"183","Czech Republic","Iceland",10,0.7,0.1,0.2
"184","Czech Republic","Austria",41,0.463414634146341,0.292682926829268,0.24390243902439
"185","Czech Republic","Hungary",46,0.239130434782609,0.282608695652174,0.478260869565217
"186","Turkey","Croatia",6,0,0.666666666666667,0.333333333333333
"187","Turkey","Germany",20,0.15,0.15,0.7
"188","Turkey","Ukraine",6,0.666666666666667,0.166666666666667,0.166666666666667
"189","Turkey","Poland",17,0.176470588235294,0.176470588235294,0.647058823529412
"190","Turkey","Northern Ireland",12,0.416666666666667,0.166666666666667,0.416666666666667
"191","Turkey","Belgium",11,0.272727272727273,0.454545454545455,0.272727272727273
"192","Turkey","Italy",10,0,0.3,0.7
"193","Turkey","Repulic of Ireland",13,0.153846153846154,0.461538461538462,0.384615384615385
"194","Turkey","Sweden",10,0.4,0.4,0.2
"195","Turkey","Portugal",8,0.25,0,0.75
"196","Turkey","Iceland",9,0.222222222222222,0.222222222222222,0.555555555555556
"197","Turkey","Austria",16,0.4375,0.0625,0.5
"198","Turkey","Hungary",12,0.333333333333333,0.166666666666667,0.5
"199","Croatia","Germany",8,0.25,0.125,0.625
"200","Croatia","Ukraine",7,0.428571428571429,0.428571428571429,0.142857142857143
"201","Croatia","Poland",5,0.6,0.2,0.2
"202","Croatia","Northern Ireland",20,0.35,0.3,0.35
"203","Croatia","Belgium",7,0.428571428571429,0.285714285714286,0.285714285714286
"204","Croatia","Italy",9,0.333333333333333,0.555555555555556,0.111111111111111
"205","Croatia","Repulic of Ireland",7,0.285714285714286,0.428571428571429,0.285714285714286
"206","Croatia","Sweden",4,0.75,0,0.25
"207","Croatia","Portugal",3,0,0,1
"208","Croatia","Iceland",4,0.75,0.25,0
"209","Croatia","Austria",5,1,0,0
"210","Croatia","Hungary",10,0.3,0.6,0.1
"211","Germany","Ukraine",5,0.4,0.6,0
"212","Germany","Poland",20,0.65,0.3,0.05
"213","Germany","Northern Ireland",14,0.571428571428571,0.285714285714286,0.142857142857143
"214","Germany","Belgium",25,0.8,0.04,0.16
"215","Germany","Italy",33,0.242424242424242,0.303030303030303,0.454545454545455
"216","Germany","Repulic of Ireland",20,0.45,0.25,0.3
"217","Germany","Sweden",36,0.416666666666667,0.25,0.333333333333333
"218","Germany","Portugal",18,0.555555555555556,0.277777777777778,0.166666666666667
"219","Germany","Iceland",4,0.75,0.25,0
"220","Germany","Austria",39,0.641025641025641,0.153846153846154,0.205128205128205
"221","Germany","Hungary",34,0.382352941176471,0.294117647058824,0.323529411764706
"222","Ukraine","Poland",7,0.428571428571429,0.285714285714286,0.285714285714286
"223","Ukraine","Northern Ireland",4,0.5,0.5,0
"224","Ukraine","Belgium",20,0.35,0.15,0.5
"225","Ukraine","Italy",7,0,0.142857142857143,0.857142857142857
"226","Ukraine","Repulic of Ireland",20,0.4,0.2,0.4
"227","Ukraine","Sweden",4,0.5,0.25,0.25
"228","Ukraine","Portugal",2,0.5,0,0.5
"229","Ukraine","Iceland",2,0.5,0.5,0
"230","Ukraine","Austria",2,0.5,0,0.5
"231","Ukraine","Hungary",2,0,0,1
"232","Poland","Northern Ireland",9,0.333333333333333,0.222222222222222,0.444444444444444
"233","Poland","Belgium",19,0.368421052631579,0.315789473684211,0.315789473684211
"234","Poland","Italy",14,0.214285714285714,0.428571428571429,0.357142857142857
"235","Poland","Repulic of Ireland",27,0.407407407407407,0.37037037037037,0.222222222222222
"236","Poland","Sweden",26,0.307692307692308,0.153846153846154,0.538461538461538
"237","Poland","Portugal",10,0.3,0.3,0.4
"238","Poland","Iceland",6,0.833333333333333,0.166666666666667,0
"239","Poland","Austria",8,0.5,0.125,0.375
"240","Poland","Hungary",32,0.25,0.125,0.625
"241","Northern Ireland","Belgium",3,0.666666666666667,0,0.333333333333333
"242","Northern Ireland","Italy",9,0.111111111111111,0.222222222222222,0.666666666666667
"243","Northern Ireland","Repulic of Ireland",10,0.2,0.4,0.4
"244","Northern Ireland","Sweden",7,0.428571428571429,0.142857142857143,0.428571428571429
"245","Northern Ireland","Portugal",13,0.153846153846154,0.538461538461538,0.307692307692308
"246","Northern Ireland","Iceland",6,0.333333333333333,0,0.666666666666667
"247","Northern Ireland","Austria",9,0.444444444444444,0.333333333333333,0.222222222222222
"248","Northern Ireland","Hungary",6,0.166666666666667,0.166666666666667,0.666666666666667
"249","Belgium","Italy",21,0.19047619047619,0.19047619047619,0.619047619047619
"250","Belgium","Repulic of Ireland",14,0.357142857142857,0.357142857142857,0.285714285714286
"251","Belgium","Sweden",14,0.5,0.142857142857143,0.357142857142857
"252","Belgium","Portugal",17,0.294117647058824,0.352941176470588,0.352941176470588
"253","Belgium","Iceland",9,1,0,0
"254","Belgium","Austria",14,0.142857142857143,0.214285714285714,0.642857142857143
"255","Belgium","Hungary",12,0.666666666666667,0.166666666666667,0.166666666666667
"256","Italy","Repulic of Ireland",13,0.538461538461538,0.230769230769231,0.230769230769231
"257","Italy","Sweden",22,0.454545454545455,0.272727272727273,0.272727272727273
"258","Italy","Portugal",25,0.72,0.08,0.2
"259","Italy","Iceland",2,0,0.5,0.5
"260","Italy","Austria",36,0.444444444444444,0.222222222222222,0.333333333333333
"261","Italy","Hungary",34,0.470588235294118,0.264705882352941,0.264705882352941
"262","Repulic of Ireland","Sweden",10,0.3,0.2,0.5
"263","Repulic of Ireland","Portugal",13,0.307692307692308,0.153846153846154,0.538461538461538
"264","Repulic of Ireland","Iceland",7,0.714285714285714,0.285714285714286,0
"265","Repulic of Ireland","Austria",14,0.142857142857143,0.214285714285714,0.642857142857143
"266","Repulic of Ireland","Hungary",11,0.181818181818182,0.454545454545455,0.363636363636364
"267","Sweden","Portugal",17,0.352941176470588,0.352941176470588,0.294117647058824
"268","Sweden","Iceland",15,0.733333333333333,0.133333333333333,0.133333333333333
"269","Sweden","Austria",35,0.342857142857143,0.171428571428571,0.485714285714286
"270","Sweden","Hungary",43,0.372093023255814,0.232558139534884,0.395348837209302
"271","Portugal","Iceland",2,1,0,0
"272","Portugal","Austria",10,0.2,0.5,0.3
"273","Portugal","Hungary",10,0.7,0.3,0
"274","Iceland","Austria",3,0,0.666666666666667,0.333333333333333
"275","Iceland","Hungary",10,0.3,0,0.7
"276","Austria","Hungary",136,0.294117647058824,0.220588235294118,0.485294117647059
